city,rank,IATA Code,state,2010,2009,2008,2007,2006,2005
Atlanta,1,ATL,GA,43130585,42280868,43236665,43236665,41352038,42402653
Chicago,2,ORD,IL,32171831,31135732,33683991,36521585,36825097,36720005
Los Angeles,3,LAX,CA,28857755,27439897,28861477,30113985,29357327,29372272
Dallas/Fort Worth,4,DFW,TX,27100656,26663984,27219985,28482417,28627749,28079147
Denver,5,DEN,CO,25241962,24013669,24287939,20796173,20591909,20315544
New York,6,JFK,NY,22934047,22710272,23620948,23401351,21071501,20260359
Houston,7,IAH,TX,19528631,19290239,20030898,24117623,22822111,20799886
San Francisco,8,SFO,CA,19359003,18467908,18135827,17280328,16236592,16070133
Las Vegas,9,LAS,NV,18996738,19445952,21024443,22537950,22028521,21402676
Phoenix,10,PHX,AZ,18907171,18559647,19450576,20767144,20479291,19032196
Charlotte,11,CLT,NC,18629181,18165476,19291428,16884780,14949568,14109608
Miami,12,MIA,FL,17017654,16187768,16369998,16377488,15664791,15092763
Orlando,13,MCO,FL,17017491,16371016,17288480,17614679,16807856,16592133
Newark/New York,14,EWR,NJ,16571754,16659441,17599578,18163652,17804107,16444959
Detroit,15,DTW,MI,15643890,15211402,16998174,17495135,17483468,17580363
Minneapolis/St Paul,16,MSP,MN,15512487,15551206,16369324,16962563,17192410,17971771
Seattle,17,SEA,WA,15406243,15273092,15839504,15419116,14703928,14359530
Philadelphia,18,PHL,PA,14951254,15002961,15586852,15656653,15390848,15376569
Boston,19,BOS,MA,13561814,12566797,12820489,13783297,13544552,13214923
New York,20,LGA,NY,12001501,11084300,11567586,12529890,12925697,13014314
"Washington, DC",21,IAD,VA,11276481,11132098,11348775,11789441,11045217,13032502
"Baltimore/Washington, D.C.",22,BWI,MD,10848633,10338950,10215225,10487789,10297607,9829432
Fort Lauderdale,23,FLL,FL,10829810,10258118,11020091,11079250,10204579,10729468
Salt Lake City,24,SLC,UT,9910493,9903821,9993198,10560906,10289129,10601918
Honolulu,25,HNL,HI,8740077,8739389,9013440,10393929,9855838,9784404
"Washington, D.C.",26,DCA,VA,8736804,8490288,8704466,9038174,8973410,8623907
Chicago,27,MDW,IL,8518957,8253620,8021383,9132836,8915292,8383698
San Diego,28,SAN,CA,8430509,8453854,9007617,9138116,8724442,8628648
Tampa,29,TPA,FL,8137222,8263294,8871917,9306036,9187865,9297643
Portland,30,PDX,OR,6582227,6430119,7090526,7281057,6956712,6798976
St. Louis,31,STL,MO,6044760,6084070,6740468,7130801,7037400,6847228
Kansas City,32,MCI,MO,4946173,4894349,5386242,5833064,5466672,5063120
Memphis,33,MEM,TN,4930935,5054191,5376818,5546321,5508235,5630305
Milwaukee,34,MKE,WI,4760170,3822542,3861333,3751345,3630098,3602536
Oakland,35,OAK,CA,4673417,4612631,5583748,7134127,7076936,7071534
Cleveland,36,CLE,OH,4591097,4704329,5387625,5571219,5447482,5529629
Raleigh,37,RDU,NC,4465736,4435624,4792909,4979553,4714587,4723989
Nashville,38,BNA,TN,4432527,4385780,4648000,4887925,4779474,4563251
Sacramento,39,SMF,CA,4424279,4460600,4986771,5382463,5182641,5108364
Houston,40,HOU,TX,4357835,4087524,4246907,4239375,4115021,3961642
Orange County,41,SNA,CA,4278623,4311329,4464380,4948846,4777896,4791786
San Juan,42,SJU,PR,4243475,4094662,4635798,5149177,5226471,5336690
Austin,43,AUS,TX,4201136,4027100,4268536,4181956,3945020,3645956
New Orleans,44,MSY,LA,4088889,3916746,3990374,3770246,3127963,3912884
San Jose,45,SJC,CA,4056167,4103834,4780264,5255257,5283407,5309992
Pittsburgh,46,PIT,PA,3996656,3956842,4292546,4875883,4946256,5198442
San Antonio,47,SAT,TX,3916320,3791928,4021976,3911726,3915428,3604665
Cincinnati,48,CVG,KY,3906826,5194214,6648600,7728069,7984074,11277068
Dallas,49,DAL,TX,3783407,3675861,4033005,3988199,3443537,2949256
Indianapolis,50,IND,IN,3728698,3732534,4061450,4097398,4008638,4221085
